n-elementos,aleatorio,crescente,decrescente
1,8.745999999999998e-05,8.271999999999998e-05,8.043999999999998e-05
10,0.002561740000000001,0.0021670000000000005,0.0022400399999999987
20,0.0039162999999999976,0.00374204,0.00374542
30,0.006140880000000002,0.005890699999999998,0.0060662999999999976
40,0.00577768,0.005675780000000003,0.005555559999999999
50,0.010145819999999998,0.00992998,0.01006036
60,0.008690020000000003,0.00870846,0.00844154
70,0.010746660000000002,0.01042974,0.01024406
80,0.012068400000000002,0.01188608,0.011587679999999998
90,0.013629999999999998,0.0134486,0.013389020000000005
100,0.022698260000000005,0.02247602,0.02262972
200,0.033423359999999985,0.03198531999999999,0.03158324
300,0.04783078,0.047321639999999984,0.04571464
400,0.07717608000000001,0.07632107999999999,0.07606866
500,0.09068790000000003,0.0902877,0.08931276000000002
600,0.09743568,0.09613956,0.09484492
700,0.12201270000000003,0.12127187999999997,0.12014502
800,0.12465428,0.12419009999999997,0.12402931999999997
900,0.15934056,0.15445996000000006,0.15348805999999993
1000,0.16415146,0.16156558,0.15910045999999994
2000,0.3310599600000001,0.33280864,0.3233439200000001
3000,0.5116175999999999,0.5079330200000001,0.5057538600000001
4000,0.7107825000000004,0.7169150199999997,0.7080439999999999
5000,0.9199447000000001,0.9157468400000004,0.9124175
6000,1.0351199,1.0147118,1.01285676
7000,1.1505416000000004,1.148931,1.1296363999999999
8000,1.3629216000000002,1.3750534,1.3455878000000001
9000,1.7060540000000002,1.6920665999999998,1.6732542
10000,1.7922128000000002,1.7980470000000002,1.7682486000000002
20000,3.4463641999999988,3.4504582000000004,3.3345266000000016
30000,5.5396887999999995,5.442347999999999,5.2768824
40000,6.949690999999999,6.9348797999999965,6.8092882
50000,8.6095736,8.676968400000002,8.6157094
60000,10.710488,10.712239999999998,10.435927999999997
70000,12.382073999999998,12.307936000000005,12.291986
80000,14.026547999999998,14.132902000000005,13.754404000000001
90000,15.851076,15.82669,15.668390000000004
100000,17.481986000000006,17.463604000000007,17.465252
