n-elementos,aleatorio,crescente,decrescente
1,0.00012871999999999995,0.00013689999999999994,0.00012589999999999994
10,0.00039626,0.00037637999999999984,0.00044716
20,0.0008050400000000002,0.0007756799999999997,0.00102498
30,0.0014191599999999998,0.0014121400000000005,0.0016674999999999995
40,0.0018122199999999996,0.00181322,0.0020733400000000003
50,0.00259538,0.00275002,0.0030154400000000003
60,0.0036092800000000007,0.0036236200000000014,0.00424246
70,0.005393340000000001,0.0054448,0.006414800000000001
80,0.00650588,0.00610068,0.00709802
90,0.007691779999999999,0.0077901400000000036,0.008782820000000002
100,0.01147832,0.011887899999999998,0.016156040000000003
200,0.03342298000000001,0.033774820000000004,0.04122540000000001
300,0.0800768,0.08261992000000001,0.10349269999999997
400,0.13265208000000006,0.13872214000000002,0.17054222
500,0.20487036000000006,0.20763247999999992,0.2556335
600,0.29414783999999994,0.30181403999999995,0.37839278
700,0.3937792399999999,0.4026754,0.4913740000000002
800,0.5022601,0.5103693799999999,0.6075401200000002
900,0.62613752,0.63325112,0.73611716
1000,0.7853935800000003,0.7949036399999998,0.92125936
2000,3.1397559,3.1925038,3.7847432
3000,7.480459619999998,7.967535400000003,9.2145958
4000,12.50861266,12.986206000000006,15.695778
5000,19.859510499999995,20.230566,24.116454
6000,28.376703000000003,28.678648,34.644298000000006
7000,38.42625838000001,39.241603999999974,47.245038
8000,49.6324631,51.71043599999999,59.259396
9000,64.13671000000001,64.10335400000001,76.19887600000001
10000,79.55824559999999,80.86666199999998,94.18131
20000,312.9152602000001,318.56034,377.9182
30000,710.704617,725.06052,853.4606800000001
40000,1224.1749857999998,1246.1660000000002,1447.7228199999995
50000,1915.2557426000005,1956.4022000000007,2279.37444
60000,2949.207355799999,2940.0198000000005,3432.2615999999994
70000,3819.5877446000004,3936.7234,4711.543400000001
80000,4955.5327499999985,5069.6212,5887.796799999997
90000,6261.575381999997,6391.2022000000015,7419.7930000000015
100000,7705.313315999998,7809.560600000002,9107.002599999998
