n-elementos,aleatorio,crescente,decrescente
1,0.00012784000000000002,0.00012076000000000003,0.00017714000000000006
10,0.00149714,0.00144342,0.0014305000000000006
20,0.00344698,0.003389179999999999,0.0034288199999999987
30,0.00507238,0.00447688,0.00444216
40,0.00402094,0.00368006,0.003653
50,0.00663616,0.00654854,0.006490940000000003
60,0.0048655,0.00480284,0.00482398
70,0.005444740000000001,0.0054082800000000006,0.005356719999999999
80,0.007354079999999997,0.00752038,0.007321079999999998
90,0.0070997399999999985,0.00711828,0.007069699999999998
100,0.008428419999999997,0.008258339999999998,0.008453219999999997
200,0.013028559999999998,0.012980599999999995,0.01306192
300,0.016468059999999996,0.017437440000000002,0.016625900000000006
400,0.029904819999999988,0.030112839999999988,0.029872779999999995
500,0.027574299999999996,0.027057280000000003,0.027487000000000004
600,0.02777642,0.027417900000000002,0.02782098
700,0.04136696,0.041383920000000005,0.04108437999999999
800,0.03417122000000001,0.033842100000000014,0.034156920000000014
900,0.0393961,0.03909072,0.039995640000000006
1000,0.04125008,0.04174422,0.04123798
2000,0.10889986,0.10946516,0.10775699999999999
3000,0.13803787999999995,0.13844994,0.14038446000000002
4000,0.20519679999999996,0.20418748,0.20233874
5000,0.24257226000000004,0.24173826,0.24388674000000005
6000,0.3376315400000001,0.33423958,0.33214738000000005
7000,0.30743894000000005,0.30584279999999997,0.30629520000000005
8000,0.3701806999999999,0.36933788,0.3755869800000003
9000,0.39881216,0.3968695999999999,0.4054190799999999
10000,0.4505964600000002,0.45749364,0.453578
20000,1.124606,1.1198513999999995,1.1084823999999998
30000,1.8236082,1.8040119999999995,1.8403962
40000,2.2719872000000003,2.2335866,2.248113
50000,2.7697327999999994,2.750054,2.7512090000000007
60000,3.4801808000000007,3.5134602,3.5083442000000002
70000,3.867741,3.879113199999998,3.874434
80000,4.4409852,4.433402600000001,4.390199200000001
90000,4.961898000000001,5.087346599999999,5.034146
100000,5.7376532000000005,5.6715044,5.770450800000001
