n-elementos,aleatorio,crescente,decrescente
1,8.894000000000001e-05,7.984e-05,7.426e-05
10,0.0003354800000000001,0.00032264,0.00032304000000000013
20,0.00088672,0.00087854,0.0008772800000000001
30,0.00163884,0.00164402,0.0016425
40,0.00235116,0.0022838599999999995,0.0024117999999999987
50,0.003722899999999999,0.0036606999999999976,0.0037776400000000014
60,0.005243820000000002,0.005192200000000001,0.005380499999999999
70,0.0072170199999999985,0.007260260000000002,0.007330620000000001
80,0.009653020000000005,0.00934112,0.00959626
90,0.01401454,0.013664759999999993,0.01360958
100,0.017578299999999998,0.01675234,0.016640520000000002
200,0.06357926,0.061996980000000014,0.06360304
300,0.13560870000000005,0.13545256000000006,0.13588302
400,0.24841838,0.24954946,0.2527263
500,0.3749042000000001,0.3741579799999999,0.3767620199999998
600,0.54610156,0.5467687600000001,0.5502927
700,0.7525538599999999,0.7505205599999999,0.7509273399999998
800,0.97494558,0.9773224599999996,0.97801136
900,1.2451786,1.2468340000000002,1.2516400000000003
1000,1.566225,1.5781350000000005,1.5818015999999997
2000,6.214042599999999,6.181636400000002,6.1742517999999995
3000,13.835297999999998,13.929510000000008,13.812009999999995
4000,24.69347599999999,24.693382,24.749907999999994
5000,38.498906,38.63013599999999,38.89369600000001
6000,55.63702000000002,55.665062,55.708674
7000,75.67342,75.441478,75.837246
8000,98.995134,98.68345199999996,99.21208599999996
9000,124.5302,124.4241,124.49490000000006
10000,154.11332,153.94469999999995,153.96908000000005
20000,615.3784599999998,614.3246599999999,615.98708
30000,1392.4703999999995,1393.2522,1392.0565999999994
40000,2439.398,2437.8770000000004,2437.8432000000007
50000,3816.6306,3817.2038,3818.5996000000014
60000,5482.8278,5483.8052,5483.518
70000,7454.1882,7451.157400000001,7449.478599999998
80000,9721.351200000003,9721.5888,9724.686999999998
90000,12297.200000000004,12295.282000000005,12294.612
100000,15173.762000000002,15172.421999999995,15173.320000000003
