n-elementos,aleatorio,crescente,decrescente
1,6.361999999999996e-05,6.432e-05,6.780000000000001e-05
10,0.0002415399999999999,0.00023302,0.00044784
20,0.00058376,0.0005693999999999999,0.00135716
30,0.00110488,0.0010634600000000002,0.0027495400000000013
40,0.0013097200000000005,0.0012513600000000002,0.002784560000000001
50,0.0019252599999999987,0.0018504000000000007,0.004268779999999997
60,0.0026985000000000025,0.002573219999999999,0.006250519999999997
70,0.0037903,0.0037311999999999996,0.00912808
80,0.004452579999999997,0.004286640000000004,0.010519800000000006
90,0.007167499999999999,0.00690576,0.018331120000000003
100,0.010191660000000002,0.009836459999999998,0.02556024
200,0.031928420000000006,0.030499060000000012,0.08034861999999998
300,0.06271342,0.058413980000000025,0.15869872
400,0.12703450000000002,0.12277264,0.32672432
500,0.15926972,0.14695972,0.39194424
600,0.24205966000000004,0.22538618,0.59441138
700,0.30831228000000005,0.28411334,0.7618253200000001
800,0.41232524,0.3887219,1.0403300000000002
900,0.5244326799999999,0.5017058999999999,1.4129602
1000,0.6632637199999999,0.6323091399999998,1.7084739999999998
2000,2.6785526000000006,2.4618416,6.852431000000003
3000,5.899901000000002,5.5032206000000015,14.892673999999996
4000,10.626763399999998,9.9530382,27.20265400000001
5000,16.889428000000002,15.702858,42.71952800000001
6000,23.651266,22.056402,60.14559200000001
7000,31.952798,29.973362000000005,80.59747800000002
8000,41.97577400000001,39.28520799999999,108.66099999999996
9000,52.945266,49.81960599999999,133.69294
10000,65.443436,61.02904800000001,164.73821999999998
20000,262.0408,243.97320000000008,664.5801800000003
30000,605.2050599999999,561.17494,1528.3691999999994
40000,1034.4937599999996,975.5939199999997,2582.915000000001
50000,1635.3270000000002,1478.5251999999996,4021.881600000001
60000,2286.8478,2155.2990000000004,5855.2588
70000,3126.2176,3182.7952,8112.5588000000025
80000,4079.674999999999,4009.7566,10354.742000000004
90000,5183.987400000001,4886.374399999999,12907.100000000002
100000,6387.3636000000015,6004.119800000001,15843.345999999996
