n-elementos,aleatorio,crescente,decrescente
1,8.669999999999999e-05,7.556000000000003e-05,9.596e-05
10,0.0001896,0.00018413999999999995,0.00023594
20,0.00029992,0.00028809999999999985,0.00035953999999999994
30,0.0005192199999999999,0.0004834999999999999,0.0006069600000000001
40,0.0004316400000000001,0.0003913200000000001,0.0005659599999999999
50,0.0005328000000000002,0.0005095,0.0008365400000000001
60,0.0006757799999999997,0.00065498,0.00129804
70,0.0009422800000000004,0.00088366,0.00164948
80,0.0007921600000000001,0.0007514399999999997,0.0014870999999999999
90,0.00104282,0.00099746,0.00184108
100,0.0011963599999999998,0.00110566,0.0019554200000000007
200,0.0022194400000000013,0.0020728800000000013,0.003929299999999999
300,0.00465906,0.0046492600000000005,0.007978119999999998
400,0.005206160000000003,0.004807440000000003,0.00836884
500,0.00898828,0.009464040000000002,0.01586288
600,0.00847214,0.008156859999999998,0.013151459999999998
700,0.00999584,0.00949136,0.014142320000000003
800,0.011804099999999998,0.010908580000000005,0.0196165
900,0.013808080000000006,0.01290692,0.02222180000000001
1000,0.020440859999999998,0.01997758,0.033130759999999995
2000,0.043242759999999984,0.04110132000000001,0.06234480000000001
3000,0.07187110000000001,0.06789051999999997,0.10273514
4000,0.08789107999999997,0.08007718000000001,0.11893252
5000,0.0925285,0.08704414000000005,0.13805626
6000,0.13269892,0.12264468,0.17419702000000006
7000,0.15157742,0.14018013999999998,0.20747252
8000,0.16267289999999995,0.15083636000000006,0.22027041999999994
9000,0.19120046,0.18119348,0.2729812800000001
10000,0.21462448000000006,0.1969716199999999,0.29579946
20000,0.44199366,0.40533506,0.6213983600000001
30000,0.7816365000000002,0.7256145400000001,1.0407506999999998
40000,0.9656276600000002,0.8938177200000001,1.2944742000000002
50000,1.2180288000000001,1.1319468000000001,1.6699556000000002
60000,1.4890634000000005,1.3584957999999998,2.0236593999999997
70000,1.8849568,1.7246824000000005,2.314869200000001
80000,2.1531498,1.978576,2.5989719999999994
90000,2.3803844,2.2038760000000006,3.026679000000001
100000,2.6489558000000004,2.5036772000000003,3.3127751999999986
